Source,Outcome
575458.99,204295.04
807505.5,293847.37
1181751.73,441787.32
1339790.95,513428.75
593109.9,212662.48
709621,258803
961377,356878
602002,217145
650220,235686
650220,235684
715926,261209
645604,233220
638730,226995
893209,325919
1417500,515093
1408964,536955
650302,227144
747674,267970
922056,334735
783546,280829
800558,286793
762120,272694
637942,225151
779552,279877
607405,209727
784008,280769
1459044,528270
1407506,532972
766234,271326
738761,261137
760399,267394
772122,274254
866133,312646
746521,263523
913038,327799
714479,252077
675274,233600
840064,299904
1591055,598293
1458027,542938
732092,252015
814439.44,285568.72
908688.43,320494.19
